basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20260901,0004Y0,KR70004Y0000,디비금융제14호스팩,KOSDAQ,1999,0,0,1999,1999,1999,5031,10056969,5315000,10624685000
20260901,000500,KR7000500009,가온전선,KOSPI,208500,-1500,-.71,210000,212000,203500,111900,23283044500,29777607,6208631059500
20260901,000520,KR7000520007,삼일제약,KOSPI,6200,50,.81,6150,6230,6080,34768,213782740,21691811,134489228200
20260901,000540,KR7000540005,흥국화재,KOSPI,3695,165,4.67,3530,3770,3500,100330,369079006,64242645,237376573275
20260901,000545,KR7000541003,흥국화재우,KOSPI,5750,-60,-1.03,5800,5990,5420,2902,16725040,768000,4416000000
20260901,000590,KR7000590000,CS홀딩스,KOSPI,66600,-1200,-1.77,67800,67900,66300,862,57648100,1154482,76888501200
20260901,000640,KR7000640003,동아쏘시오홀딩스,KOSPI,93200,-1000,-1.06,94000,95100,92300,13086,1220229750,6732527,627471516400
20260901,000650,KR7000650002,천일고속,KOSPI,150000,-3300,-2.15,152300,155000,146700,2584,386938500,1429220,214383000000
20260901,000660,KR7000660001,SK하이닉스,KOSPI,1693000,19000,1.14,1666000,1713000,1652000,2727724,4606423190500,730492365,1236723573945000
20260901,000670,KR7000670000,영풍,KOSPI,40350,350,.88,39700,40750,39200,25095,1002537050,18410683,742871059050
20260901,000680,KR7000680009,LS네트웍스,KOSPI,3040,-105,-3.34,3135,3150,3030,72680,223251870,78803016,239561168640
20260901,000700,KR7000700005,유수홀딩스,KOSPI,6610,10,.15,6575,6660,6520,16480,108444580,26041812,172136377320
20260901,000720,KR7000720003,현대건설,KOSPI,120700,-2600,-2.11,122100,124000,118000,475204,56869952950,111355765,13440640835500
20260901,000725,KR7000721001,현대건설우,KOSPI,53200,-1800,-3.27,55000,55000,52800,1682,89718400,1054693,56109667600
20260901,000760,KR7000760009,이화산업,KOSPI,13890,-170,-1.21,13980,14130,13420,1177,16491070,2800000,38892000000
20260901,0007C0,KR70007C0003,아크릴,KOSDAQ,17190,2120,14.07,15070,19000,14750,894393,15521414775,8030324,138041269560
20260901,0007J0,KR70007J0006,인벤테라,KOSDAQ,8280,-150,-1.78,8430,8500,7950,25541,207957170,7865714,65128111920
20260901,000810,KR7000810002,삼성화재,KOSPI,677000,12000,1.8,658000,682000,657000,68112,45924829500,44647473,30226339221000
20260901,000815,KR7000811000,삼성화재우,KOSPI,437000,11000,2.58,425000,440000,423000,12770,5573918750,3007020,1314067740000
20260901,000850,KR7000850008,화천기공,KOSPI,35700,-700,-1.92,36450,36450,35250,9310,331708050,2200000,78540000000
20260901,000860,KR7000860007,강남제비스코,KOSPI,12600,50,.4,12460,12650,12350,8786,109934420,13000000,163800000000
20260901,000880,KR7000880005,한화,KOSPI,128300,-7200,-5.31,133100,133500,118800,426059,52788349450,53328897,6842097485100
20260901,00088K,KR700088K015,한화3우B,KOSPI,39350,-1800,-4.37,41000,41150,37900,25399,983107250,14676613,577524721550
20260901,000890,KR7000890004,보해양조,KOSPI,1321,-17,-1.27,1350,1364,1310,157805,208962286,27624025,36491337025
20260901,0008Z0,KR70008Z0005,에스엔시스,KOSDAQ,24200,200,.83,24400,24450,23850,12182,293752675,9436564,228364848800
20260901,000910,KR7000910000,유니온,KOSPI,3000,-10,-.33,2985,3030,2975,15122,45229230,15611619,46834857000
20260901,000950,KR7000950006,전방,KOSPI,34250,1350,4.1,31950,34300,31900,492,16086150,1680000,57540000000
20260901,000970,KR7000970004,한국주철관,KOSPI,6710,-20,-.3,6700,6710,6620,18801,124854730,22800500,152991355000
20260901,000990,KR7000990002,DB하이텍,KOSPI,94400,-600,-.63,94500,95700,92400,201028,18787704850,43504588,4106833107200
20260901,0009K0,KR70009K0001,에임드바이오,KOSDAQ,23750,-750,-3.06,24300,24800,23500,105857,2523262925,64671161,1535940073750
20260901,001000,KR7001000009,신라섬유,KOSDAQ,462,0,0,0,0,0,0,0,24277540,11216223480
20260901,001020,KR7001020007,페이퍼코리아,KOSPI,2470,120,5.11,2335,2470,2335,17203,41782105,35596662,87923755140
20260901,001040,KR7001040005,CJ,KOSPI,133600,3700,2.85,128800,135800,127100,128290,16960819850,29176998,3898046932800
20260901,001045,KR7001041003,CJ우,KOSPI,69500,500,.72,69000,70300,68700,4337,300948350,2260223,157085498500
20260901,00104K,KR700104K010,CJ4우(전환),KOSPI,129900,3400,2.69,127000,130800,125400,4821,619517100,4226512,549023908800
20260901,001060,KR7001060003,JW중외제약,KOSPI,29000,800,2.84,28700,30100,28000,323277,9384232250,23285930,675291970000
20260901,001065,KR7001061001,JW중외제약우,KOSPI,22550,-250,-1.1,22500,22800,22500,771,17497750,341951,7710995050
20260901,001067,KR7001062009,JW중외제약2우B,KOSPI,48800,1000,2.09,47800,48800,47800,29,1404200,209973,10246682400
20260901,001070,KR7001070002,대한방직,KOSPI,6080,90,1.5,5990,6180,5910,2348,14020150,5300000,32224000000
20260901,001080,KR7001080001,만호제강,KOSPI,4055,40,1,4015,4180,3985,43210,175202662,35114960,142391162800
20260901,0010F0,KR70010F0005,보원케미칼,KOSDAQ,2110,-40,-1.86,2150,2150,2100,16932,35737030,11143601,23512998110
20260901,0010V0,KR70010V0005,제이피아이헬스케어,KOSDAQ,8820,30,.34,8720,8950,8450,4079,35066270,5105400,45029628000
20260901,001120,KR7001120005,LX인터내셔널,KOSPI,39700,750,1.93,38950,40400,38650,102151,4077571525,38760000,1538772000000
20260901,001130,KR7001130004,대한제분,KOSPI,11820,120,1.03,11700,11980,11660,13752,162395325,16900000,199758000000
20260901,0011A0,KR70011A0009,액스비스,KOSDAQ,8430,-150,-1.75,8510,8540,8300,17195,144736700,9333740,78683428200
20260901,0011T0,KR70011T0008,채비,KOSDAQ,4780,-165,-3.34,4910,5100,4730,87852,423244887,46949591,224419044980
20260901,001200,KR7001200005,유진투자증권,KOSPI,4445,55,1.25,4360,4445,4345,272896,1199094493,96866418,430571228010
20260901,001210,KR7001210004,금호전기,KOSPI,13070,590,4.73,13140,14350,12720,16252776,220796240765,12376016,161754529120
20260901,001230,KR7001230002,동국홀딩스,KOSPI,2025,-10,-.49,2035,2090,2005,165632,338176015,155507715,314903122875
20260901,001250,KR7001250000,GS글로벌,KOSPI,2700,25,.93,2670,2725,2645,262178,700469681,82533764,222841162800
20260901,001260,KR7001260009,남광토건,KOSPI,7630,-120,-1.55,7750,7900,7450,39167,298289430,9832572,75022524360
20260901,001270,KR7001270008,부국증권,KOSPI,55600,800,1.46,53700,55900,53700,1669,91864500,10369886,576565661600
20260901,001275,KR7001271006,부국증권우,KOSPI,30300,0,0,30400,30400,30300,632,19153900,3000000,90900000000
20260901,001290,KR7001290006,상상인증권,KOSPI,1010,0,0,0,0,0,0,0,108337120,109420491200
20260901,001340,KR7001340009,PKC,KOSPI,5190,-10,-.19,5170,5250,5100,46874,242650990,45028089,233695781910
20260901,001360,KR7001360007,삼성제약,KOSPI,1362,38,2.87,1324,1380,1312,395802,532525473,94162079,128248751598
20260901,001380,KR7001380005,SG글로벌,KOSPI,1315,-10,-.75,1322,1330,1310,11073,14614662,22482071,29563923365
20260901,001390,KR7001390004,KG케미칼,KOSPI,4490,15,.34,4445,4520,4440,104206,466738405,66403636,298152325640
20260901,0013V0,KR70013V0002,삼진식품,KOSDAQ,4985,-95,-1.87,4980,5080,4895,32863,162140887,9918656,49444500160
20260901,001420,KR7001420009,태원물산,KOSPI,2530,230,10,2300,2600,2085,119361,284367515,7600000,19228000000
20260901,001430,KR7001430008,세아베스틸지주,KOSPI,41350,350,.85,41000,42050,40600,66998,2758272175,35862119,1482898620650
20260901,001440,KR7001440007,대한전선,KOSPI,28650,-750,-2.55,29150,29300,28400,862525,24715773275,195992596,5615187875400
20260901,001450,KR7001450006,현대해상,KOSPI,53400,2500,4.91,50500,53700,50500,539884,28673603850,85248250,4552256550000
20260901,001460,KR7001460005,BYC,KOSPI,37850,-600,-1.56,38600,38600,37550,836,31838350,6246150,236416777500
20260901,001465,KR7001461003,BYC우,KOSPI,27150,50,.18,27300,27300,26800,2060,55529650,2153850,58477027500
20260901,001470,KR7001470004,삼부토건,KOSPI,5820,0,0,0,0,0,0,0,39139903,227794235460
20260901,001500,KR7001500008,현대차증권,KOSPI,8090,120,1.51,7980,8130,7950,81904,656708565,61833044,500229325960
20260901,001510,KR7001510007,SK증권,KOSPI,2535,-20,-.78,2530,2575,2485,2684493,6792340575,231295085,586333040475
20260901,001515,KR7001511005,SK증권우,KOSPI,4335,15,.35,4360,4360,4280,2099,9065145,1956257,8480374095
20260901,001520,KR7001520006,동양,KOSPI,1093,18,1.67,1064,1094,1064,110061,118405528,107122032,117084380976
20260901,001525,KR7001521004,동양우,KOSPI,8950,-100,-1.1,8850,8950,8850,143,1277050,262615,2350404250
20260901,001527,KR7001522002,동양2우B,KOSPI,6490,-160,-2.41,6500,6510,6400,2574,16646560,205705,1335025450
20260901,001530,KR7001530005,DI동일,KOSPI,27700,0,0,27800,29600,27200,91213,2570838400,20715621,573822701700
20260901,001540,KR7001540004,안국약품,KOSDAQ,11010,0,0,11040,11205,10830,26398,290083970,13042420,143597044200
20260901,001550,KR7001550003,조비,KOSPI,11110,240,2.21,11080,11400,10780,152257,1685630365,5192239,57685775290
20260901,001560,KR7001560002,제일연마,KOSPI,9170,80,.88,9040,9170,8980,978,8864900,7600000,69692000000
20260901,001570,KR7001570001,금양,KOSPI,9900,0,0,0,0,0,0,0,63967196,633275240400
20260901,0015G0,KR70015G0009,그린광학,KOSDAQ,14700,-10,-.07,14710,14800,14320,16855,244136790,11702541,172027352700
20260901,0015N0,KR70015N0000,아로마티카,KOSDAQ,10450,-390,-3.6,10850,11920,10430,821032,9155420565,12576922,131428834900
20260901,0015S0,KR70015S0005,페스카로,KOSDAQ,7260,140,1.97,7140,7400,7100,9607,69816280,9866730,71632459800
20260901,001620,KR7001620004,케이비아이동국실업,KOSPI,2160,5,.23,2170,2170,2135,7357,15788605,22258606,48078588960
20260901,001630,KR7001630003,종근당홀딩스,KOSPI,39450,200,.51,38950,39650,38950,1319,51907050,5009861,197639016450
20260901,001680,KR7001680008,대상,KOSPI,18740,430,2.35,18100,18820,18090,207990,3873764765,34648025,649303988500
20260901,001685,KR7001681006,대상우,KOSPI,14680,0,0,14680,14680,14600,1454,21270550,1370223,20114873640
20260901,001720,KR7001720002,신영증권,KOSPI,154000,-2400,-1.53,154700,156400,153100,3037,469519650,16440000,2531760000000
20260901,001740,KR7001740000,SK네트웍스,KOSPI,6640,70,1.07,6570,6710,6420,884001,5790464765,200593889,1331943422960
20260901,001750,KR7001750009,한양증권,KOSPI,19720,220,1.13,19740,19830,19550,8681,171154750,15109486,297959063920
20260901,001755,KR7001751007,한양증권우,KOSPI,19760,320,1.65,19640,19760,19270,9988,192901555,472870,9343911200
20260901,001770,KR7001770007,SHD,KOSPI,13960,740,5.6,13850,14500,13040,59855,826166960,1214878,16959696880
20260901,001780,KR7001780006,알루코,KOSPI,1641,-20,-1.2,1650,1662,1621,182421,298773604,96830132,158898246612
20260901,001790,KR7001790005,대한제당,KOSPI,2910,-15,-.51,2930,2965,2895,155902,455688476,86241915,250963972650
20260901,001795,KR7001791003,대한제당우,KOSPI,2205,15,.68,2175,2210,2175,15080,33135647,6482760,14294485800
20260901,0017J0,KR70017J0004,세미티에스,KOSDAQ,2695,-10,-.37,2700,2795,2665,157867,428532924,30151041,81257055495
20260901,001800,KR7001800002,오리온홀딩스,KOSPI,25500,-300,-1.16,25500,26000,25500,43902,1126200725,60156652,1533994626000
20260901,001810,KR7001810001,무림SP,KOSDAQ,1200,11,.93,1189,1200,1187,18970,22593063,22137500,26565000000
20260901,001820,KR7001820000,삼화콘덴서,KOSPI,112500,-200,-.18,112400,114200,108200,434207,48767226200,10395000,1169437500000
20260901,001840,KR7001840008,이화공영,KOSDAQ,2215,0,0,0,0,0,0,0,28256809,62588831935
20260901,001940,KR7001940006,KISCO홀딩스,KOSPI,27850,-500,-1.76,28300,28400,27700,25748,723081200,14176380,394812183000
20260901,002020,KR7002020006,코오롱,KOSPI,26350,500,1.93,26200,26450,25600,21879,569896075,12907680,340117368000
20260901,002025,KR7002021004,코오롱우,KOSPI,13440,60,.45,13380,13450,13150,1151,15401400,1160437,15596273280
20260901,002030,KR7002030005,아세아,KOSPI,214500,1500,.7,209000,218500,206000,3178,683714000,2058852,441623754000
20260901,002070,KR7002070001,비비안,KOSPI,4815,10,.21,4760,5150,4610,98904,482273189,4801800,23120667000
20260901,002100,KR7002100006,경농,KOSPI,9240,-50,-.54,9290,9300,9180,19253,177582700,19522575,180388593000
20260901,002140,KR7002140002,고려산업,KOSPI,2145,-35,-1.61,2180,2215,2115,373035,805473320,24939425,53495066625
20260901,002150,KR7002150001,도화엔지니어링,KOSPI,5260,-100,-1.87,5380,5380,5200,24424,128420395,33720000,177367200000
20260901,002170,KR7002170009,SYTS,KOSPI,57900,200,.35,57400,58100,55500,9939,567270100,3000000,173700000000
20260901,002200,KR7002200004,한국수출포장,KOSPI,2710,15,.56,2695,2740,2680,131493,355934297,33499941,90784840110
20260901,002210,KR7002210003,동성제약,KOSPI,1480,-13,-.87,1479,1502,1411,78629,115866616,96619507,142996870360
20260901,002220,KR7002220002,한일철강,KOSPI,3020,35,1.17,2995,3025,2930,63222,188213519,26697460,80626329200
20260901,002230,KR7002230001,피에스텍,KOSDAQ,5230,-40,-.76,5280,5300,5140,24345,126541940,18421070,96342196100
20260901,002240,KR7002240000,고려제강,KOSPI,17620,350,2.03,17510,17660,17270,8574,149365165,27000000,475740000000
20260901,002290,KR7002290005,삼일기업공사,KOSDAQ,3355,5,.15,3350,3385,3320,4993,16688375,12400000,41602000000
20260901,002310,KR7002310001,아세아제지,KOSPI,8610,70,.82,8460,8610,8410,45978,391630970,39449510,339660281100
20260901,002320,KR7002320000,한진,KOSPI,15160,230,1.54,14940,15190,14800,15416,230457595,15518616,235262218560
20260901,002350,KR7002350007,넥센타이어,KOSPI,6360,-60,-.93,6430,6470,6330,49269,314073545,97667877,621167697720
20260901,002355,KR7002351005,넥센타이어1우B,KOSPI,3920,20,.51,3900,3935,3850,8266,32366170,6500000,25480000000
20260901,002360,KR7002360006,SH에너지화학,KOSPI,1642,39,2.43,1603,1643,1560,21482,34816896,11113373,18248158466
20260901,002380,KR7002380004,KCC,KOSPI,493500,19500,4.11,474000,493500,474000,26383,12813660000,8592896,4240594176000
20260901,002390,KR7002390003,한독,KOSPI,9600,90,.95,9420,9600,9420,3793,36202365,13763533,132129916800
20260901,002410,KR7002410009,범양건영,KOSPI,1935,0,0,0,0,0,0,0,27479820,53173451700
20260901,002420,KR7002420008,우양피앤엘,KOSPI,5730,-140,-2.39,5870,5870,5730,4561,26265830,31167884,178591975320
20260901,002450,KR7002450005,삼익악기,KOSPI,1162,10,.87,1152,1163,1142,164035,188974305,90530915,105196923230
20260901,002460,KR7002460004,HS화성,KOSPI,10900,0,0,10910,10940,10700,6238,67584160,10150000,110635000000
20260901,002600,KR7002600005,조흥,KOSPI,137900,1600,1.17,138000,138000,137900,3,413900,600000,82740000000
20260901,002620,KR7002620003,제일파마홀딩스,KOSPI,7600,150,2.01,7390,8120,7190,20026,153016900,15973355,121397498000
20260901,002630,KR7002630002,오리엔트바이오,KOSPI,840,-33,-3.78,873,873,824,226296,191579628,59291502,49804861680
20260901,002680,KR7002680007,한탑,KOSDAQ,2560,0,0,2600,2700,2435,131113,337606761,6463359,16546199040
20260901,002690,KR7002690006,동일제강,KOSPI,1473,-29,-1.93,1500,1500,1457,51393,75757472,20300360,29902430280
